,business_id,name,address,city,postal_code,latitude,longitude,stars,tips,cusines
32,r_sOAVfNPaXrpjznZpuxeg,Papi Chulo's,611 NW 13th Ave,Portland,97209,45.5274187,-122.6844472,4.0,Birra burrito. You're welcome.,Mexican
50,UKIBQrRbY_jo52yHWcZE8g,Noah Halal,310 SW 5th Ave,Portland,97204,45.5210363,-122.6766335,4.0,Food truck moved to new pod on SE Powell and 35th,Mediterranean
145,sJNMic9YAN7rSy8RnHZ0qw,Moon Dream,3232 NE 82nd Ave,Portland,97220,45.5459972,-122.5785237,4.5,,American (New)
171,uMPGs_Jc1fBoxeGrCKqRiw,Panda Express,1462 NE 122nd Ave,Portland,97230,45.533263,-122.5373376,2.0,"Morgan was really really sweet, amazing customer service  will deff be coming back!",Chinese
234,zfasUshwU5NhibqKVQ7FIw,Chopsticks,3616 SE Hawthorne Blvd,Portland,97214,45.5119301,-122.6263452,3.0,,Chinese
235,Ie3LnWkmTyUf6zL7tOVP2g,Gonzo At Bar XV,1527 SW 2nd Ave,Portland,97204,45.5228622485,-122.6724387118,4.5,,Mediterranean
323,sPAGskLJD0pSDl_QotGk3A,Reo's Ribs,11140 SE Powell Blvd,Portland,97266,45.495806,-122.548422,2.5,,American (Traditional)
364,WRHUIR-ik25cA445KC7-3Q,Tabor Hill Cafe,3766 SE Hawthorne Blvd,Portland,97214,45.51196,-122.624594,3.5,,American (Traditional)
384,GXR2Jv645UiQr971MZyHWA,Basilisk,820 NE 27th Ave,Portland,97232,45.5290499433,-122.638252,4.5,Temporarily closed due to pandemic.,American (New)
484,fCBR2YYEEZ1zojjz6Z_dVA,Biscuits Cafe,17502 SE McLoughlin Blvd,Portland,97267,45.3956555,-122.6159695,3.5,Food was good but service was horrible.,American (Traditional)
552,d1CTYaYS_rwu4gHzFq-rYQ,Chu's Eatery,17110 SE Powell Blvd,Portland,97236,45.4924861,-122.4873637,3.5,Love their crab puffs!,Chinese
578,5nUjcxjMpcuMkxfH1YWlUg,Jalapeño Grill,14919 SE Stark St,Portland,97233,45.5193294672,-122.5095614791,3.5,,American (Traditional)
582,fuT9DHrcCySzBrNxMyJmkg,Chompers Growlers & Cantina Cantinflas,901 N Anchor Way,Portland,97217,45.6031466,-122.6762632,4.0,"Very good quesadillas.services is very nice, very friendly people.",Mexican
645,MkykeeIir_t7iat5gb7liA,Umai Japanese Twist,3714 SW Macadam Ave,Portland,97239,45.4962094,-122.6725594,4.5,"Tokyo Curry w/ Chicken rocked my world
Been thinking about it since",Japanese
687,32bsFaGx_nRU-7c7l4Cj2Q,Jin Jin Deli,"8220 SE Harrison St, Ste 138a",Portland,97216,45.5082178,-122.5784607,4.5,Looks like theyre all closed up.,Chinese
851,7HEd7zVZqTtMdjmA0saluw,Kay's Bar,6903 SE Milwaukie Ave,Portland,97202,45.4738873,-122.6489963,4.0,They make mean Mules so if you're into that come on down and get trashed.,American (Traditional)
892,LNRg3-yquDP_iBJf10yHWA,MacTarnahan's Taproom,2730 NW 31st,Portland,97210,45.5415249,-122.7128905,3.5,,American (Traditional)
893,427cd3XUT2DFlnTXUSw4jg,Koji Osakaya,"1000 SW Broadway, Ste 110",Portland,97205,45.5168957,-122.6805938,3.0,,Japanese
949,wlq4RoD6t9ig1WiV7MZWwg,Beaverton Charburger,6050 SW Hall Blvd,Beaverton,97008,45.4759361,-122.8049592,3.5,"Big tasty burger. What more could you want? 
Egg rolls of course.",American (Traditional)
1009,GvBTwynyjalNWx1u7kXEBg,Suki Ramen,8145 SE 82nd Ave,Portland,97266,45.4636025,-122.5796078,4.5,Their ramen is delicious,Japanese
1016,UXTQ6_CJiCNq3ovB6_-K6g,UniCart,SW Ash and 3rd,Portland,97204,45.5222548,-122.6733847,4.5,,American (Traditional)
1021,7Uey3OQfLxJgKE8KcFqUqA,Taco Del Mar,10215 NE Cascades Pkwy,Portland,97220,45.5726379,-122.5570851,3.0,,Mexican
1034,AV3Foa7I7T0NX5WRtOH04A,Sushi Town,"18033 NW Evergreen Pkwy, Ste M",Beaverton,97006,45.536265,-122.8616695,3.5,,Japanese
1038,XSNlls8X7IBVM-5BeuPK0A,Falafel Express,11963 SW Pacific Hwy,Tigard,97223,45.4338743,-122.765965,4.5,Best falafel and shawarma anywhere!!!!!,Mediterranean
1040,JD1_uwSON4JmLVFofRZczA,Romano's Macaroni Grill,300 SW Yamhill St,Portland,97255,45.5175274,-122.6762335,3.0,,American (Traditional)
1083,DMqzf-NXhsIWmoXSV7GS2Q,Clarklewis,1001 SE Water Ave,Portland,97214,45.5153279201,-122.6660654929,4.0,Best restaurant ever! Their duck is to die for,American (New)
1089,luOZQ9YBrWwP8mYrS4rNoA,Happy Fortune,10420 SW Barbur Blvd,Portland,97219,45.4504592,-122.7270663,3.0,,Chinese
1094,5fHZLHjlFmLfi78ibVyMMw,Green Leaf Chinese Cuisine,SW 9th And Alder St,Portland,97205,45.5206108058,-122.6813005909,3.5,,Chinese
1292,HXpqpRy579Qy5mnNlVIuPA,Michoacan,7008 N Interstate Ave,Portland,97217,45.5740388,-122.6817924,3.0,,Mexican
